RMR,Dimeter(m),Overburden Height(m),Loading,Maximum Total Displacement(m)
30,5,20,0,0.000822331
30,5,50,0,0.00194003
30,5,100,0,0.00428491
30,5,200,0,0.0102911
35,5,20,0,0.000616741
35,5,50,0,0.00145502
35,5,100,0,0.00308921
35,5,200,0,0.0070204
40,5,20,0,0.000462421
40,5,50,0,0.00109091
40,5,100,0,0.00229281
40,5,200,0,0.0048405
50,5,20,0,0.00026002
50,5,50,0,0.000613438
50,5,100,0,0.00128841
50,5,200,0,0.00254541
30,10,20,0,0.0016599
30,10,50,0,0.0035778
30,10,100,0,0.00874824
30,10,200,0,0.0200124
35,10,20,0,0.001245
35,10,50,0,0.0026834
35,10,100,0,0.00624765
35,10,200,0,0.0136563
40,10,20,0,0.00093347
40,10,50,0,0.002012
40,10,100,0,0.00464443
40,10,200,0,0.00946647
50,10,20,0,0.00052489
50,10,50,0,0.0011313
50,10,100,0,0.00261162
50,10,200,0,0.00500708
30,15,20,0,0.0027965
30,15,50,0,0.0054665
30,15,100,0,0.012907
30,15,200,0,0.029222
35,15,20,0,0.0020973
35,15,50,0,0.0040998
35,15,100,0,0.0092901
35,15,200,0,0.0190962
40,15,20,0,0.0015725
40,15,50,0,0.003074
40,15,100,0,0.0069073
40,15,200,0,0.0135322
50,15,20,0,0.00088424
50,15,50,0,0.0017285
50,15,100,0,0.0038836
30,5,20,0.1,0.00152
30,5,50,0.1,0.00204101
30,5,100,0.1,0.0061474
30,5,200,0.1,0.010576
35,5,20,0.1,0.00114
35,5,50,0.1,0.0015308
35,5,100,0.1,0.0044501
35,5,200,0.1,0.0180659
40,5,20,0.1,0.00085473
40,5,50,0.1,0.0011477
40,5,100,0.1,0.0033078
40,5,200,0.1,0.011641
50,5,20,0.1,0.00048062
50,5,50,0.1,0.000645372
50,5,100,0.1,0.0018595
50,5,200,0.1,0.0052783
30,10,20,0.1,0.0026159
30,10,50,0.1,0.0039372
30,10,100,0.1,0.010284
30,10,200,0.1,0.0208074
35,10,20,0.1,0.001962
35,10,50,0.1,0.002953
35,10,100,0.1,0.00731001
35,10,200,0.1,0.0360594
40,10,20,0.1,0.0014711
40,10,50,0.1,0.0022141
40,10,100,0.1,0.00541321
40,10,200,0.1,0.023074
50,10,20,0.1,0.00082717
50,10,50,0.1,0.001245
50,10,100,0.1,0.0030434
50,10,200,0.1,0.010796
30,15,20,0.1,0.0039022
30,15,50,0.1,0.0058856
30,15,100,0.1,0.014287
30,15,200,0.1,0.030536
35,15,20,0.1,0.0029267
35,15,50,0.1,0.0044142
35,15,100,0.1,0.010111
35,15,200,0.1,0.0198771
40,15,20,0.1,0.0021944
40,15,50,0.1,0.0033097
40,15,100,0.1,0.0074719
40,15,200,0.1,0.013593
50,15,20,0.1,0.0012339
50,15,50,0.1,0.001861
50,15,100,0.1,0.0041998
30,5,20,0.2,0.002457
30,5,50,0.2,0.00243611
30,5,100,0.2,0.0092637
30,5,200,0.2,0.011474
35,5,20,0.2,0.0018428
35,5,50,0.2,0.00182708
35,5,100,0.2,0.0069237
35,5,200,0.2,0.0192926
40,5,20,0.2,0.0013817
40,5,50,0.2,0.00136987
40,5,100,0.2,0.0051874
40,5,200,0.2,0.012518
50,5,20,0.2,0.00077691
50,5,50,0.2,0.000770277
50,5,100,0.2,0.0029167
50,5,200,0.2,0.0057556
30,10,20,0.2,0.0035837
30,10,50,0.2,0.0042993
30,10,100,0.2,0.013111
30,10,200,0.2,0.0219983
35,10,20,0.2,0.0026879
35,10,50,0.2,0.0032246
35,10,100,0.2,0.0093898
35,10,200,0.2,0.0375592
40,10,20,0.2,0.0020153
40,10,50,0.2,0.0024177
40,10,100,0.2,0.00695281
40,10,200,0.2,0.024151
50,10,20,0.2,0.0011332
50,10,50,0.2,0.0013594
50,10,100,0.2,0.0039087
50,10,200,0.2,0.010958
30,15,20,0.2,0.0050306
30,15,50,0.2,0.0063059
30,15,100,0.2,0.017259
30,15,200,0.2,0.0318741
35,15,20,0.2,0.003773
35,15,50,0.2,0.0047294
35,15,100,0.2,0.012285
35,15,200,0.2,0.0208151
40,15,20,0.2,0.0028289
40,15,50,0.2,0.003546
40,15,100,0.2,0.0090736
40,15,200,0.2,0.014277
50,15,20,0.2,0.0015907
50,15,50,0.2,0.0019939
50,15,100,0.2,0.0050998
